ZZ 2e 2jet Invariant masses (eV),Leptoquark electron Invariant masses (eV)
184.1275408,3120.092937
698.0243956,3943.177844
504.9592245,5197.100113
1145.670896,1123.784092
366.3918578,1566.963761
553.2283923,1818.997625
1033.695086,1017.957322
376.1991475,4002.682728
752.4500468,5420.718605
90.64532823,5287.027254
244.8248402,1298.579382
210.264843,4497.508138
1088.028425,1050.571567
1998.446673,2941.644313
118.2879491,239.7419211
833.0419205,6807.584708
829.7007925,3180.168434
125.7156202,4816.075445
1850.673512,2162.766553
422.2819827,5528.678922
435.0338842,1677.824876
442.402592,1080.362032
632.7605753,2506.736473
506.4221288,8834.73169
410.3269837,1074.105436
920.8095207,1747.4445
540.8122448,2594.264298
586.3102806,2272.512897
429.7423839,2256.130915
602.6814529,7230.621962
1200.108351,2834.531898
310.5026136,2392.227428
569.6619018,6277.265093
219.247797,2936.358781
530.7592341,3086.837368
538.8222022,11370.99726
1707.521931,3267.7309
182.1798446,7319.961675
5139.529955,1973.98588
3262.292728,1037.089337
511.9816974,967.7299392
901.4855447,3608.122809
278.8203094,4205.048581
132.9029466,902.3252437
66.29200793,1185.173361
401.5956277,4866.529655
1892.597016,4694.082363
337.4442797,1507.43258
155.6629021,3183.811112
572.1875852,8470.319826
1719.103622,5771.031891
956.9923327,7333.087752
387.2088825,4071.398136
117.8367496,3122.086147
1264.197326,1462.806804
5317.724319,1384.771489
832.6989561,23955.79119
882.9430451,1315.030599
2756.134704,2047.491433
5375.593563,2286.267519
808.1238198,12710.4099
418.732667,4212.094875
734.6888665,13402.72766
975.6867217,2903.91625
459.0079465,2931.682068
682.1393184,1561.347583
594.7377534,5837.279741
558.032052,2023.093507
97.51666937,3504.183422
1917.482931,19114.36395
711.8719151,2152.269515
443.9104498,1584.142097
548.5625011,1387.712389
1711.229015,3056.6624
550.8145172,2431.976704
1216.695164,1539.329706
426.4858256,2361.260859
135.9821175,916.3901622
573.2845043,1878.776692
6687.486808,1680.069429
496.5430216,6582.061157
1225.082792,2040.70752
135.8560682,21331.78469
2268.633093,3575.852278
31.46409116,4570.963755
2543.845673,4120.027342
102.7431937,21506.87817
723.2256316,2937.901569
1665.691661,573.6101917
146.8083257,2129.065814
185.5303609,1477.861656
2129.168108,7737.639689
2912.764987,2591.355902
1672.291505,13816.85909
1691.687104,1223.156532
236.8464554,1979.453942
916.74349,5122.849299
5588.713679,12493.55619
1219.654201,5012.029449
341.3220512,1140.425175
2602.11602,3473.501087
1472.34089,414.7975487
440.0512735,21312.33219
199.7607243,4894.608088
258.376782,1834.168089
94.41203216,7798.54014
295.9498519,2685.110266
388.1265414,2201.796557
2824.122682,48.58754616
286.7559559,2689.426262
