Signal ΔR,Background ΔR
2.633320581,2.939011954
1.83594684,0.9519271353
2.581781212,3.192791339
2.162115614,2.765098222
1.351647135,3.579968719
1.349458105,0.7177282586
1.290754948,2.097459245
2.557558693,2.469493877
3.025270295,2.41310166
2.425219614,3.677715426
3.398505389,2.508528343
2.811466525,3.708229233
0.8012926822,0.674674823
2.333364582,4.747487283
1.879368873,4.030642019
2.911735407,0.8765379074
1.48754687,3.579742519
1.625503775,1.967527732
2.434455356,3.892649498
2.445566327,20
2.055974157,3.439058551
4.169866132,2.078258646
1.200197971,2.479416452
2.929254097,2.479416452
2.43864939,3.036254884
2.562978788,0.3424376527
3.03001193,3.50113213
2.367124145,3.505574851
5.779759624,1.744157903
4.01531798,2.125008578
1.626911389,2.292027161
2.910974937,2.292027161
2.819574114,2.937164198
4.912327635,2.511060899
1.999022336,3.866666318
2.158439741,3.906186381
3.431085043,3.174263152
4.374971216,3.735347729
3.444125541,2.451198718
3.240807278,2.55395239
2.339195503,2.328819569
2.788690255,2.409364981
5.298908161,2.409364981
2.107785443,2.743432837
1.752828812,1.147302233
1.26068951,1.858370036
1.657506632,1.858370036
3.518161863,3.507585013
0.2511951674,3.298296924
2.385623373,1.603897898
4.93096462,1.327851593
3.353234542,1.079339743
2.194882072,20
3.248078919,0.6116351055
1.997793935,0.9856676343
4.228188626,2.76676296
1.425170828,1.742482959
1.622806221,1.742482959
4.272169033,2.700380982
2.773577011,3.720676921
1.034593302,1.639863757
2.52940852,1.639863757
2.109529372,3.276929959
3.80237848,3.246750044
1.992517882,3.004342303
1.557076382,2.295172198
2.786628412,2.094640743
1.87864613,2.672995904
3.732349776,0.8359413256
2.725477445,0.8359413256
1.869262871,0.9109335151
1.864863415,2.119381945
5.360520142,3.727607364
1.809531374,3.727607364
3.528553845,2.066005947
0.8625543032,3.159559505
2.356000471,1.33396875
4.586213279,1.33396875
2.111138467,1.058869963
2.844410882,2.387687124
1.720209576,2.975461971
3.078036528,3.607481151
1.5559274,3.607481151
2.902998869,0.9851540977
2.54427857,1.999563574
2.539708319,3.10594813
3.300682575,3.10594813
3.673174082,0.8621204249
2.79326419,2.418172927
0.6820721772,5.434827469
3.49830308,5.434827469
0.7037710265,0.9360643662
2.728328262,2.421537574
0.9313724016,3.223874484
3.098436592,2.48814942
3.097908062,2.488495091
3.171302333,3.018600521
1.418273368,1.835686006
1.865250128,4.349170116
3.335264269,2.817190426
0.5149176912,2.357487952
0.5641514858,3.167015458
0.3232756542,3.966459778
5.492876589,3.966459778
1.939143007,3.908244177
1.936400111,2.554446733
3.334322215,2.222117434
0.37970696,2.222117434
2.9284043,1.867178011
2.653938182,1.875024971
2.721390143,2.430152076
2.093867248,2.411424327
0.5865951227,2.967910783
3.122136304,3.125158716
1.86412746,2.626294414
1.411022386,2.163635669
2.552627786,2.163635669
