pT (GeV) Signal,pT (GeV) Background)
24.0548,54.7096
54.6021,20.5555
63.3448,343.334
892.299,68.6668
376.861,37.6395
73.0827,43.0714
170.534,551.975
322.521,441.58
80.7872,31.5775
92.8547,54.1575
250.05,52.1302
947.277,469.172
97.2575,25.085
54.0383,2.35351
84.8796,19.7988
509.222,79.1951
569.793,57.434
169.968,24.5721
60.2055,67.9329
223.088,113.618
1319,49.1764
100.62,57.2157
59.6587,45.1614
293.28,146.976
250.509,47.5438
70.1581,25.7745
61.3108,67.5377
350.216,607.839
450.644,14.6167
74.846,17.7385
69.4344,17.1024
362.684,68.4096
1335.24,60.4592
66.1191,33.9931
151.243,313.724
420.174,358.541
319.669,28.4456
78.6641,2.37333
30.794,119.676
778.972,119.676
1194.3,63.6269
89.5972,65.876
531.24,77.0684
2293.02,88.9389
827.039,24.9984
106.152,88.2703
10.8157,0.00111779
520.988,0.0898844
153.239,0.146082
139.843,0.242547
140.78,485.464
265.573,970.927
287.473,37.3115
67.8767,66.7748
18.3671,740.119
481.866,986.825
2481.45,90.4031
20.3762,27.7134
243.156,511.752
0.0825115,426.46
0.0340138,30.5048
2664.15,41.3709
1143.35,122.172
82.3726,325.793
50.7601,39.1024
1.88642,41.5726
0.609671,0.0937978
614.538,0.00917001
1011.72,59.5103
210.244,82.7549
203.445,134.939
155.38,26.6816
581.147,391.498
169.587,252.481
51.8585,16.6938
283.744,3.33831
309.156,0.214382
50.2446,225.307
123.173,71.0102
1520.76,8.01577
644.296,17.3002
127.866,165.667
59.2947,92.0374
0.0551323,64.9937
0.0390177,38.4261
0.00462899,582.785
0.124133,83.255
96.5905,66.9509
528.741,31.8232
117.004,69.678
147.261,19.8733
0.0727202,8.78354
0.015163,9.96646
275.305,115.682
238.465,40.7109
134.125,63.5334
267.723,28.9657
781.657,194.229
191.281,0
36.6259,31.0284
43.2689,66.0411
0.302282,2.37617
0.334053,29.6022
1497.42,266.42
1844.84,36.8287
401.081,26.2968
127.87,7.23431
1966.36,36.1716
3472.73,47.4498
87.7734,79.2147
50.1151,525.538
458.028,210.215
230.909,38.9782
110.513,71.225
28.9682,272.919
110.507,119.215
1076.1,137.896
298.438,60.1626
105.192,354.72
114.739,591.2
1582.29,29.3208
155.919,74.2093
295.622,56.3296
469.511,242.482
67.0629,27.0367
42.4704,30.6759
149.469,0.841595
562.987,82.913
179.411,27.6377
225.754,23.7472
47.9529,86.546
487.235,387.43
731.088,129.143
193.335,31.1981
281.684,45.3887
7701.02,86.8515
2791.92,1150.76
114.423,39.8633
171.357,57.6344
394.113,707.168
401.361,88.396
119.556,35.2834
2.03227,40.8514
12.7069,376.146
67.8945,37.6146
193.23,76.7985
41.1405,8.97278
2.02826,1.34811
0.815989,0
110.641,119.909
428.389,34.8613
140.655,29.7545
352.407,77.8035
979.734,233.41
409.259,47.837
164.81,40.0832
118.181,31.83
0.15272,302.049
0.116941,20.1887
290.985,48.2467
403.755,51.8194
348.289,77.7291
31.7271,41.2396
157.638,49.045
1688.86,133.167
204.796,53.2669
42.6424,8.87967
199.051,20.4594
1409.68,255.588
80.6619,138.026
40.3224,1.33137
1060.63,17.8663
504.399,23.4546
80.2034,328.365
34.5185,33.8173
432.04,48.9413
433.12,0.00681547
58.6587,0.131099
190.539,18.5171
2020.99,203.688
480.985,11.8175
164.155,3.84134
184.97,86.6363
0.208114,57.7575
0.447536,30.4636
460.229,59.0652
318.298,795.32
214.958,66.2766
209.106,7.89349
89.7207,5.70844
103.326,44.9952
129.637,36.6633
171.303,2.04003
0.326464,71.4762
0.00674973,40.9272
1196.66,27.6235
98.4355,29.2851
176.062,16.601
60.4642,412.867
574.482,0
816.846,5.1381
228.813,28.2264
196.752,0
0.533039,72.262
0.237756,32.6621
154.577,23.2208
345.221,177.833
76.9574,59.2777
71.5712,39.0367
120.575,21.0718
680.243,76.5678
75.5685,102.09
100.063,52.4505
276.109,56.134
1068.55,65.181
89.4665,175.354
116.151,45.9153
882.225,42.3695
2662.72,7.39876
113.539,14.7975
84.278,1.17431
1445.12,74.4525
207.484,150.4
43.719,1222.05
128.517,149.701
1919.62,13.6474
728.643,166.515
253.004,66.6058
159.035,18.6154
435.521,90.9367
683.664,12.6662
269.32,342.253
171.707,16.5949
831.083,25.1256
316.904,80.8768
77.0287,477.49
84.0778,59.6863
345.225,30.6167
479.546,33.25
83.6297,0.528088
196.104,0.394944
288.902,655.506
292.464,23.4071
45.5437,60.7011
70.4946,54.4069
0.160005,521.251
0.147247,35.0975
807.149,26.6545
865.378,61.5557
179.196,2.0743
87.0825,29.4437
206.711,88.3312
83.9999,8.89032
83.9724,7.2034
147.204,7.51859
0.402191,36.3491
1.90676,22.2439
406.281,37.2871
589.291,63.6793
84.2432,0.779089
110.597,56.2284
648.299,56.2284
395.938,4.59925
90.7922,6.57164
59.229,0.0704705
742.247,0.395705
783.933,173.962
259.622,227.668
454.985,94.7682
1357.87,8.56411
1094.68,0.99489
32.9149,2.37255
99.4857,81.9676
1833.42,191.034
798.36,72.6215
134.224,12.0604
49.9037,5.60811
57.8531,62.4055
753.509,124.811
18.6618,51.042
87.4545,41.1436
1450.67,1.48143
1189.59,26.1203
153.035,78.3609
182.195,18.9697
0.264783,102.958
0.618454,313.39
613.363,62.6781
662.389,18.444
186.259,52.1365
182.231,472.653
1756.56,85.9369
856.308,22.2665
86.7577,99.7682
148.599,793.53
282.005,176.34
206.321,23.5643
124.884,28.2509
63.3171,46.2205
313.231,34.6653
700.771,46.6994
86.2903,45.2099
70.2179,259.245
172.12,103.698
267.938,7.09843
209.249,10.4393
223.085,99.7607
197.317,32.5037
244.893,43.4671
84.3598,42.6402
90.7806,0.0630307
258.314,0.00132624
521.284,39.1566
65.9074,143.004
55.4816,37.4697
794.878,54.61
814.341,13.1363
14.305,108.358
49.911,209.497
439.043,35.9351
653.554,1082.64
55.2766,649.583
135.808,61.8194
447.035,54.0597
264.412,0.0705696
102.161,0.0663788
53.9328,0.263048
1074.3,0.0146636
1503.04,13.064
30.1677,161.334
205.077,50.1845
537.768,9.69556
305.3,0.138602
327.797,0.0127077
21.0597,159.489
163.975,31.8978
1074.56,87.5051
49.2616,2.41148
129.114,86.5744
1256.89,259.723
399.648,31.2457
114.398,98.5215
289.046,277.413
0.0124703,34.6766
0.0407818,57.3631
439.924,74.6784
652.341,179.572
111.257,515.572
175.641,70.4265
1254.74,35.7547
1029.21,15.0622
153.008,170.498
74.4641,7.68012
692.814,6.37263
729.876,55.7297
77.9854,13.9324
150.304,31.4805
981.904,15.0907
3583.27,25.4536
60.7165,36.0453
82.7896,10.2951
3809.96,24.6455
751.25,45.4
347.858,45.4
145.115,23.9667
0.0074426,61.4245
0.0387118,8.62434
1296.55,68.9948
1694.68,19.2192
111.384,59.4326
205.462,101.388
390.159,371.757
176.058,58.9835
10.1348,15.9213
60.5825,44.7582
0.0661012,164.575
0.08475,74.1976
1418.26,34.7369
